Lexie's opinion!,,class,label,description
,187,completion.6_yr_completion.no_pell_grant,NOPELL_YR6_N,Number of no-Pell students in overall 6-year completion cohort
,188,completion.title_iv.pell_recip.transf_completed_4yr_by.4yrs,PELL_COMP_4YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 4-year institution and completed within 4 years
,189,completion.title_iv.depend.unknown_by.3yrs,DEP_UNKN_ORIG_YR3_RT,Percent of dependent students with status unknown within 3 years at original institution
,190,student.share_lowincome.0_30000,INC_PCT_LO,"Percentage of aided students whose family income is between $0-$30,000"
,191,aid.median_debt.income.0_30000,LO_INC_DEBT_MDN,"The median debt for students with family income between $0-$30,000"
,192,academics.program_percentage.agriculture,PCIP01,"Percentage of degrees awarded in Agriculture, Agriculture Operations, And Related Sciences."
,193,completion.title_iv.loan_recip.transf_completed_2yr_by.6yrs,LOAN_COMP_2YR_TRANS_YR6_RT,Percent of students who received a federal loan at the institution and who transferred to a 2-year institution and completed within 6 years
,194,completion.title_iv.pell_recip.transf_withdrawn_2yr_by.4yrs,PELL_WDRAW_2YR_TRANS_YR4_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 4 years
,195,completion.title_iv.loan_recip.transf_unknown_4yr_by.4yrs,LOAN_UNKN_4YR_TRANS_YR4_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and whose status is unknown within 4 years
,196,completion.title_iv.no_loan.transf_still_enrolled_2yr_by.6yrs,NOLOAN_ENRL_2YR_TRANS_YR6_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
,197,completion.title_iv.not_first_gen.transf_still_enrolled_2yr_by.8yrs,NOT1STGEN_ENRL_2YR_TRANS_YR8_RT,Percent of not-first-generation students who transferred to a 2-year institution and were still enrolled within 8 years
,198,completion.2_yr_completion.low_income,LO_INC_YR2_N,"Number of low-income (less than $30,000 in nominal family income) students in overall 2-year completion cohort"
,199,completion.title_iv.depend.transf_unknown_2yr_by.8yrs,DEP_UNKN_2YR_TRANS_YR8_RT,Percent of dependent students who transferred to a 2-year institution and whose status is unknown within 8 years
,200,completion.title_iv.transf_still_enrolled_4yr_by.4yrs,ENRL_4YR_TRANS_YR4_RT,Percent who transferred to a 4-year institution and were still enrolled within 4 years
,201,cost.net_price.public.by_income_level.75001-110000,NPT44_PUB,"Average net price for $75,001-$110,000 family income (public institutions)"
,202,completion.title_iv.mid_inc.withdrawn_by.2yrs,MD_INC_WDRAW_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students withdrawn from original institution within 2 years "
,203,completion.title_iv.low_inc.transf_completed_4yr_by.8yrs,LO_INC_COMP_4YR_TRANS_YR8_RT,"Percent of low-income (less than $30,000 in nominal family income) students who transferred to a 4-year institution and completed within 8 years"
,204,completion.title_iv.female.transf_withdrawn_2yr_by.8yrs,FEMALE_WDRAW_2YR_TRANS_YR8_RT,Percent of female students who transferred to a 2-year institution and withdrew within 8 years
,205,completion.title_iv.independ.transf_unknown_2yr_by.6yrs,IND_UNKN_2YR_TRANS_YR6_RT,Percent of independent students who transferred to a 2-year institution and whose status is unknown within 6 years
,206,cost.net_price.private.by_income_level.0-30000,NPT41_PRIV,"Average net price for $0-$30,000 family income (private for-profit and nonprofit institutions)"
,207,repayment.3_yr_repayment.pell_grant,PELL_RPY_3YR_N,Number of students in the 3-year repayment rate of Pell students cohort
,208,academics.program.assoc.resources,CIP03ASSOC,Associate degree in Natural Resources And Conservation.
,209,academics.program.certificate_lt_1_yr.computer,CIP11CERT1,Certificate of less than one academic year in Computer And Information Sciences And Support Services.
,210,completion.title_iv.male.transf_still_enrolled_4yr_by.3yrs,MALE_ENRL_4YR_TRANS_YR3_RT,Percent of male students who transferred to a 4-year institution and were still enrolled within 3 years
,211,completion.title_iv.pell_recip.withdrawn_by.3yrs,PELL_WDRAW_ORIG_YR3_RT,Percent of students who received a Pell Grant at the institution and withdrew from original institution within 3 years
,212,completion.title_iv.depend.transf_completed_2yr_by.3yrs,DEP_COMP_2YR_TRANS_YR3_RT,Percent of dependent students who transferred to a 2-year institution and completed within 3 years
,213,completion.title_iv.no_pell.unknown_by.2yrs,NOPELL_UNKN_ORIG_YR2_RT,Percent of students who never received a Pell Grant at the institution and with status unknown within 2 years at original institution
,214,repayment.7_yr_repayment.income.0_30000,LO_INC_RPY_7YR_RT,"Seven-year repayment rate by family income ($0-30,000)"
,215,aid.median_debt.first_generation_students,FIRSTGEN_DEBT_MDN,The median debt for first-generation students
,216,completion.title_iv.female.transf_unknown_4yr_by.3yrs,FEMALE_UNKN_4YR_TRANS_YR3_RT,Percent of female students who transferred to a 4-year institution and whose status is unknown within 3 years
,217,academics.program_percentage.engineering,PCIP14,Percentage of degrees awarded in Engineering.
,218,student.demographics.race_ethnicity.white,UGDS_WHITE,Total share of enrollment of undergraduate degree-seeking students who are white
,219,completion.title_iv.no_pell.transf_unknown_4yr_by.6yrs,NOPELL_UNKN_4YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 4-year institution and whose status is unknown within 6 years
,220,academics.program.certificate_lt_1_yr.social_science,CIP45CERT1,Certificate of less than one academic year in Social Sciences.
,221,student.share_independent_highincome.110001plus,IND_INC_PCT_H2,"Independent students with family incomes between $110,001+ in nominal dollars"
,222,completion.title_iv.no_pell.transf_still_enrolled_2yr_by.6yrs,NOPELL_ENRL_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 6 years
,223,cost.title_iv.other_acad_calendar.by_income_level.48001-75000,NUM43_OTHER,"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)"
,224,student.share_firstgeneration_parents.highschool,PAR_ED_PCT_HS,Percent of students whose parents' highest educational level is high school
,225,school.minority_serving.nant,NANTI,Flag for Native American non-tribal institution
,226,repayment.7_yr_repayment.non_first_generation_students,NOTFIRSTGEN_RPY_7YR_N,Number of students in the 7-year repayment rate of not-first-generation students cohort
,227,admissions.act_scores.75th_percentile.math,ACTMT75,75th percentile of the ACT math score
,228,completion.title_iv.no_pell.transf_withdrawn_2yr_by.6yrs,NOPELL_WDRAW_2YR_TRANS_YR6_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and withdrew within 6 years
,229,completion.title_iv.mid_inc.died_by.4yrs,MD_INC_DEATH_YR4_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who died within 4 years at original institution"
,230,earnings.6_yrs_after_entry.mean_earnings.middle_tercile,mn_earn_wne_inc2_p6,Mean earnings of students working and not enrolled 6 years after entry in the middle income tercile
,231,school.minority_serving.hispanic,HSI,Flag for Hispanic-serving institution
,232,academics.program.assoc.engineering_technology,CIP15ASSOC,Associate degree in Engineering Technologies And Engineering-Related Fields.
,233,academics.program.assoc.parks_recreation_fitness,CIP31ASSOC,"Associate degree in Parks, Recreation, Leisure, And Fitness Studies."
,234,completion.title_iv.loan_recip.transf_withdrawn_4yr_by.8yrs,LOAN_WDRAW_4YR_TRANS_YR8_RT,Percent of students who received a federal loan at the institution and who transferred to a 4-year institution and withdrew within 8 years
,235,completion.4_yr_completion.male_students,MALE_YR4_N,Number of male students in overall 4-year completion cohort
,236,completion.title_iv.loan_recip.completed_by.4yrs,LOAN_COMP_ORIG_YR4_RT,Percent of students who received a federal loan at the institution and who completed in 4 years at original institution
,237,completion.4_yr_completion.female_students,FEMALE_YR4_N,Number of female students in overall 4-year completion cohort
,238,completion.title_iv.withdrawn_by.8yrs,WDRAW_ORIG_YR8_RT,Percent withdrawn from original institution within 8 years
,239,completion.title_iv.independ.died_by.3yrs,IND_DEATH_YR3_RT,Percent of independent students who died within 3 years at original institution
,240,completion.title_iv.depend.withdrawn_by.3yrs,DEP_WDRAW_ORIG_YR3_RT,Percent of dependent students withdrawn from original institution within 3 years
,241,cost.avg_net_price.program_year,NPT4_PROG,Average net price for the largest program at the institution for program-year institutions
,242,completion.title_iv.pell_recip.transf_unknown_2yr_by.3yrs,PELL_UNKN_2YR_TRANS_YR3_RT,Percent of students who received a Pell Grant at the institution and who transferred to a 2-year institution and whose status is unknown within 3 years
,243,student.fafsa_sent.3_college_allyrs,APPL_SCH_PCT_GE3,Number of applications is greater than or equal to 3
,244,completion.title_iv.female.transf_withdrawn_4yr_by.4yrs,FEMALE_WDRAW_4YR_TRANS_YR4_RT,Percent of female students who transferred to a 4-year institution and withdrew within 4 years
,245,completion.title_iv.loan_recip.withdrawn_by.8yrs,LOAN_WDRAW_ORIG_YR8_RT,Percent of students who received a federal loan at the institution and withdrew from original institution within 8 years
,246,academics.program.bachelors.parks_recreation_fitness,CIP31BACHL,"Bachelor's degree in Parks, Recreation, Leisure, And Fitness Studies."
,247,completion.title_iv.transf_withdrawn_4yr_by.6yrs,WDRAW_4YR_TRANS_YR6_RT,Percent who transferred to a 4-year institution and withdrew within 6 years
,248,completion.title_iv.female.transf_still_enrolled_4yr_by.2yrs,FEMALE_ENRL_4YR_TRANS_YR2_RT,Percent of female students who transferred to a 4-year institution and were still enrolled within 2 years 
,249,completion.4_yr_completion.no_loan_students,NOLOAN_YR4_N,Number of no-loan students in overall 4-year completion cohort
,250,completion.title_iv.no_pell.transf_still_enrolled_2yr_by.4yrs,NOPELL_ENRL_2YR_TRANS_YR4_RT,Percent of students who never received a Pell Grant at the institution and who transferred to a 2-year institution and were still enrolled within 4 years
,251,completion.title_iv.depend.died_by.2yrs,DEP_DEATH_YR2_RT,Percent of dependent students who died within 2 years at original institution
,252,academics.program_percentage.humanities,PCIP24,"Percentage of degrees awarded in Liberal Arts And Sciences, General Studies And Humanities."
,253,academics.program.certificate_lt_1_yr.engineering,CIP14CERT1,Certificate of less than one academic year in Engineering.
,254,cost.net_price.public.by_income_level.75000-plus,NPT4_75UP_PUB,"Average net price for $75,000+ family income (public institutions)"
,255,completion.title_iv.male.transf_unknown_4yr_by.4yrs,MALE_UNKN_4YR_TRANS_YR4_RT,Percent of male students who transferred to a 4-year institution and whose status is unknown within 4 years
,256,academics.program.certificate_lt_2_yr.communications_technology,CIP10CERT2,Certificate of at least one but less than two academic years in Communications Technologies/Technicians And Support Services.
,257,completion.title_iv.no_loan.transf_still_enrolled_2yr_by.8yrs,NOLOAN_ENRL_2YR_TRANS_YR8_RT,Percent of students who never received a federal loan at the institution and who transferred to a 2-year institution and were still enrolled within 8 years
,258,repayment.1_yr_repayment.first_generation_students,FIRSTGEN_RPY_1YR_N,Number of students in the 1-year repayment rate of first-generation students cohort
,259,completion.title_iv.depend.transf_withdrawn_4yr_by.6yrs,DEP_WDRAW_4YR_TRANS_YR6_RT,Percent of dependent students who transferred to a 4-year institution and withdrew within 6 years
,260,completion.title_iv.mid_inc.completed_by.2yrs,MD_INC_COMP_ORIG_YR2_RT,"Percent of middle-income (between $30,000 and $75,000 in nominal family income) students who completed within 2 years at original institution"
,261,completion.title_iv.independ.transf_still_enrolled_4yr_by.6yrs,IND_ENRL_4YR_TRANS_YR6_RT,Percent of independent students who transferred to a 4-year institution and were still enrolled within 6 years
